1780397505,b,B,1,1518.01,69434.00
1780397731,b,B,1,4233.38,69552.00
1780398231,b,B,1,1794.46,69545.00
1780398259,b,E,0,0.98,1979.57
1780399603,b,E,0,19.77,1977.28
1780400141,b,E,0,44.78,1974.39
1780400297,b,B,1,2565.02,69347.00
1780400509,b,B,1,4151.69,69417.00
1780400655,b,E,1,20.03,1976.85
1780400747,e,B,1,199.78,69342.00
1780400787,b,E,1,70.81,1976.00
1780401303,b,E,1,459.29,1977.60
1780402189,b,B,1,687.27,69326.00
1780402683,b,B,0,2446.04,69262.00
1780402683,b,B,0,5610.61,69262.00
1780403161,b,B,1,1712.19,69271.00
1780403425,b,B,1,7017.31,69316.00
1780403657,b,B,0,405.81,69155.00
1780403732,b,E,1,1417.61,1973.81
1780403778,b,E,1,152.32,1973.81
1780403903,e,B,1,699.84,68939.00
1780403931,b,B,0,4663.53,69094.00
1780404065,b,E,0,2424.90,1971.32
1780404348,b,E,1,775.02,1976.15
1780404371,e,E,0,500.83,1976.15
1780404413,b,E,0,1463.78,1976.15
1780404455,b,E,0,55.33,1976.07
1780404461,b,E,1,568.84,1976.07
1780404589,b,E,1,1317.88,1973.82
1780404760,b,E,0,1429.47,1973.62
1780404829,b,B,1,2074.49,69051.00
1780404831,b,E,1,600.52,1974.04
1780404921,b,E,0,1942.97,1974.04
1780404941,b,E,1,796.70,1973.91
1780404995,b,B,1,1398.76,69016.00
1780405065,b,E,1,145.07,1973.50
1780405079,e,B,1,1097.86,68884.03
1780405227,b,B,1,0.64,68966.00
1780405275,b,E,1,632.73,1973.82
1780405321,b,E,1,2257.90,1973.93
1780405343,b,E,1,12730.37,1973.93
1780405345,b,E,1,3496.94,1973.93
1780405415,e,E,0,9873.40,1974.77
1780405421,b,E,0,2260.31,1976.03
1780405499,b,B,0,37.10,68945.00
1780405564,b,E,0,1463.83,1974.97
1780405695,b,E,1,810.44,1974.05
1780405763,b,E,1,4368.72,1974.08
1780405790,b,E,1,1463.66,1974.08
1780405795,b,B,1,2316.92,68925.00
1780405919,b,E,1,1547.07,1973.97
1780405929,b,E,1,533.52,1973.97
1780406035,b,B,1,878.26,68953.00
1780406108,b,E,1,881.04,1973.49
1780406119,b,B,0,3899.86,68941.00
1780406119,b,B,0,29122.96,68941.00
1780406213,b,B,1,1982.42,68896.00
1780406279,b,E,0,2227.00,1971.66
1780406323,b,B,1,2068.32,68841.00
1780406357,b,B,1,926.73,68841.00
1780406688,b,E,1,574.17,1975.93
1780406827,b,E,1,1625.53,1975.38
1780407012,b,E,0,1465.73,1976.87
1780407067,b,E,1,28.96,1976.28
1780407109,a,E,0,548.68,1976.28
1780407119,b,E,0,19.76,1976.28
1780407121,b,E,0,1.45,1976.28
1780407201,b,B,1,5402.19,68909.00
1780407216,b,E,0,2429.89,1977.45
1780407351,b,B,0,58643.26,68888.00
1780407395,b,E,1,659.61,1976.65
1780407558,b,E,1,1097.66,1975.76
1780407728,a,B,1,126.82,68669.00
1780407743,e,B,0,685.96,68768.00
1780407791,e,B,1,798.37,68771.02
1780407861,b,B,0,41476.83,68740.00
1780407881,b,E,1,648.18,1974.37
1780407909,b,E,1,414.29,1973.74
1780408052,b,E,1,686.17,1975.50
1780408155,a,B,0,6864.10,68641.00
1780408159,b,E,0,2432.28,1975.53
1780408165,b,E,1,390.99,1975.53
1780408191,b,B,0,11640.72,68808.00
1780408271,e,E,1,999.33,1975.30
1780408325,b,E,0,1464.71,1975.30
1780408355,e,B,1,6704.89,68628.01
1780408572,b,E,1,474.38,1970.64
1780408605,b,B,1,1678.94,68746.00
1780408645,b,E,1,987.26,1972.09
1780408679,e,B,1,1097.95,68634.01
1780408688,b,E,1,1324.25,1972.09
1780408821,b,B,0,8298.22,68699.00
1780408825,b,B,0,0.08,68699.00
1780408887,b,B,0,5074.19,68699.00
1780408903,b,E,1,3740.28,1970.69
1780408934,b,E,1,549.53,1970.69
1780408955,e,E,1,319.46,1970.69
1780409059,b,E,1,3909.65,1968.99
1780409099,b,E,1,8332.58,1968.08
1780409116,b,E,0,1870.36,1968.08
1780409347,b,E,1,807.10,1969.12
1780409411,e,B,1,99844.07,68415.00
1780409427,b,B,0,2141.09,68528.00
1780409621,b,E,0,7.45,1961.68
1780409671,b,E,1,660.76,1965.30
1780409817,b,E,1,1268.23,1964.89
1780409883,b,E,0,1455.74,1963.66
1780409939,e,E,1,3011.04,1963.66
1780409981,b,E,1,353.49,1962.38
1780410093,b,B,0,55076.03,68354.00
1780410093,b,B,0,5130.79,68354.00
1780410143,e,E,1,4335.29,1957.79
1780410153,b,B,0,5522.17,68294.00
1780410153,b,B,0,18521.20,68294.00
1780410161,b,E,0,4566.47,1957.79
1780410179,e,B,1,10042.72,68259.00
1780410203,e,B,1,100314.65,68294.00
1780410243,b,B,0,4600.32,68294.00
1780410251,b,E,0,6921.78,1945.41
1780410299,e,E,1,198.26,1943.54
1780410301,b,B,0,29187.77,68204.00
1780410301,b,B,0,6135.98,68204.00
1780410383,e,B,1,4016.54,68011.00
1780410407,e,B,1,1004.13,68011.00
1780410453,b,B,0,4761.78,67982.00
1780410453,b,B,0,2620.81,67982.00
1780410539,e,E,1,100.14,1937.86
1780410543,a,E,1,8.93,1937.86
1780410563,e,E,1,20.06,1937.86
1780410573,b,E,1,512.81,1937.86
1780410603,a,E,0,1500.27,1933.44
1780410611,b,B,1,5177.56,67769.00
1780410627,b,E,1,180.60,1934.12
1780410671,e,E,1,9670.60,1934.12
1780410733,b,E,1,143.77,1934.12
1780410809,b,B,1,1780.65,67759.00
1780410859,b,E,1,162.04,1934.80
1780410931,b,E,1,181.56,1938.00
1780410944,b,E,0,2394.31,1938.00
1780410950,b,E,1,1532.41,1938.00
1780410969,b,E,1,171.11,1938.00
1780410973,b,E,0,3385.86,1938.00
1780411002,b,E,1,525.88,1938.53
1780411023,b,E,1,161.51,1938.53
1780411039,b,E,1,1940.38,1938.53
1780411039,b,E,1,1.00,1938.53
1780411049,b,E,1,336.65,1938.53
1780411071,b,E,1,0.96,1938.53
1780411075,b,E,1,1.00,1938.53
1780411075,b,E,1,191.50,1938.53
1780411090,a,B,1,8760.30,67723.00
1780411091,b,E,0,0.99,1938.53
1780411093,b,E,1,154.19,1938.53
1780411095,b,E,1,1.00,1938.53
1780411103,e,B,1,17758.33,67920.00
1780411111,b,E,1,209.84,1941.13
1780411125,b,E,0,1405.71,1941.13
1780411129,b,E,1,172.91,1941.13
1780411131,b,E,1,913.85,1941.13
1780411145,b,E,1,206.23,1941.13
1780411155,b,E,1,0.96,1941.13
1780411174,b,E,1,491.96,1941.13
1780411177,b,E,1,1.00,1941.13
1780411187,b,E,1,314.26,1941.13
1780411195,b,E,1,1.00,1941.56
1780411197,b,B,1,6423.16,68117.00
1780411203,b,E,1,194.16,1941.56
1780411211,b,B,1,504.11,68117.00
1780411215,b,E,1,199.31,1941.56
1780411225,b,E,0,3142.83,1941.56
1780411242,a,B,0,543.30,67912.00
1780411243,b,E,1,141.82,1940.24
1780411250,b,E,0,2752.03,1940.24
1780411256,b,E,1,691.49,1940.24
1780411263,b,E,1,0.96,1940.24
1780411271,b,E,1,134.49,1940.24
1780411297,b,E,1,0.96,1940.24
1780411299,b,E,1,156.27,1940.24
1780411301,b,E,1,1.00,1940.24
1780411311,b,E,1,1030.50,1940.24
1780411321,b,E,1,1.00,1940.24
1780411353,a,B,1,1003.14,67912.00
1780411373,b,E,1,1027.49,1933.96
1780411423,b,E,1,0.96,1933.96
1780411429,b,E,1,184.07,1933.96
1780411469,b,E,0,2648.24,1933.96
1780411487,b,E,1,1269.22,1931.00
1780411535,b,E,1,758.49,1931.32
1780411559,a,B,1,39956.16,67827.00
1780411559,e,E,1,997.08,1931.32
1780411559,e,B,1,19950.99,67846.00
1780411583,b,E,1,125.62,1931.32
1780411592,b,E,1,615.95,1931.32
1780411597,b,E,1,187.78,1931.32
1780411630,a,B,0,3391.40,67828.00
1780411649,b,B,1,5563.51,67918.00
1780411657,b,E,0,2525.56,1935.11
1780411662,b,E,1,1061.01,1935.11
1780411695,a,B,1,39916.46,67828.00
1780411703,e,E,1,2993.05,1935.11
1780411734,b,E,1,1467.82,1940.06
1780411739,e,B,1,99868.42,68066.00
1780411751,b,E,1,152.00,1940.06
1780411799,b,E,0,2095.34,1941.18
1780411805,b,E,1,381.15,1941.18
1780411807,b,B,1,930.72,68025.00
1780411809,b,E,1,5436.81,1941.18
1780411819,b,E,1,149.02,1941.18
1780411827,b,B,1,102.07,68025.00
